originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
nathan mott trail stone wallcorner	mott trail	90
greenway trail off payne road	greenway	90
behind 'god bless usa" sign at sit your butt or take a putt	cannon at legion park	86
beach avenue trail	beach avenue	90
greenway trail entrance on payne's rd.	greenway	90
elizabeth dickens trail in a pricker bush, halloween day , 2017	elizabeth dickens trail	90
elizabeth dickens trail, sw- in clump of tall grass	elizabeth dickens trail	90
lewis-dickens farm trail	dickens farm trail	95
win dodge preserve, tree, near entrance	win dodge	90
farmer's market	farmer's market	100
winn dodge	win dodge	95
spring street gallery in the tree poetry box	spring street	90
dories cove	dorry's cove beach	86
greenway trail on old mill road in a tree just past entrance.	greenway	90
old mill	old mill road	90
2nd bluff	mohegan bluffs	70
the hodge family preserve	hodge family wildlife preserve	86
champlin rd beach before the coast guard station	coast guard station	90
across from the labyrinth	sacred labyrinth	86
greenway trail enchanted forest	enchanted forest	90
inside cannon	cannon at legion park	86
sunset beach	block island state beach	86
enchanted forest path in branches up high	enchanted forest	90
roiles harbor beach off clayhead trail	clayhead trail	90
beacon hill greenway trail	beacon hill	90
rodman's hollow, heading towards fresh pond	fresh pond	90
shoreline just e. of settler's rock	settler's rock	90
beginning of greenway: enchanted forest	enchanted forest	90
rodmans hollow short loop	harrison loop	86
under bridge on clayhead trail	clayhead trail	90
nathan mott greenway	greenway	90
greenway trail off cooneymus rd.	greenway	90
nathan mott memorial park	esta's park	86
enchanted forest in an old log	enchanted forest	90
head of nathan mott trail	nathan mott trail	95
win-dodge in a tree	win dodge	90
dodge family wildlife preserve	hodge family wildlife preserve	97
clayead trail	clayhead trail	96
the maze, inside cedar tree	the maze	90
beacon hill greenway	beacon hill	90
near the pavilion	the maze	86
the maze, at base of tree	the maze	90
library, front yard	library	90
enchanted forest, inside tree trunk at a dead end	enchanted forest	90
dorry's cove-by driftwood	dorry's cove	90
southeast light house	southeast light	95
greenway between old mill and cooneymus	greenway	90
labrynth	sacred labyrinth	68
harrison trail at west side road, in stone wall	harrison trail	90
cannon base	cannon at legion park	86
dory's cove beach	dorry's cove beach	97
fresh pond trail off of rodman's hollow in large tree at path intersection	fresh pond	90
rodmans hollow area	rodman's hollow	82
payne rd greenway	payne road greenway	94
inside tree-greenway	greenway	90
beach ave greenway trail	beach ave	90
greenway trail between payne rd and westshore rd. found under small bridge	greenway trail	90
rocks mansion beach foundation	mansion beach	90
beans point	beane point	91
mansion beach by rocks	mansion beach	90
fence line at strings and things	cannon at legion park	86
in a rock wall on clayhead trail	clayhead trail	90
peter woods greenway park in tree	greenway	90
on side road under a hollow of a tree leading into the maze	the maze	90
settler's rock shoreline	settler's rock	90
trail at the fresh pond preserve	fresh pond	90
greenway off lakeside dr.	greenway	90
enchanted woods	enchanted forest	77
pebble beach	block island state beach	86
ocean view hotel	ocean view pavilion	73
sea grass mohegan bluffs	mohegan bluffs	90
fresh swamp by payne rd	fresh swamp	90
bridge near mansion beach	mansion beach	90
